,Team1,Team2,Date,PlayerID,Minutes,FG,FGA,FGPCT,3PT,3PTA,3PTPCT,FT,FTA,FTPCT,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,+/-,TSPCT,EFGPCT,OFFRTG,DEFRTG
0,Los Angeles Clippers,Atlanta Hawks,February 7 2009,randoza01,36:12,10,10,.556,3,3,1.000,2,2,1.000,2,7,9,3,1,0,0,2,25,+20,.662,.639,138,107
1,Los Angeles Clippers,Atlanta Hawks,February 7 2009,thornal01,35:46,13,13,.591,1,2,.500,4,5,.800,1,6,7,6,1,1,1,2,31,+21,.640,.614,131,105
2,Los Angeles Clippers,Atlanta Hawks,February 7 2009,gordoer01,32:55,5,5,.500,1,3,.333,0,0,,0,2,2,3,0,0,0,3,11,+5,.550,.550,118,112
3,Los Angeles Clippers,Atlanta Hawks,February 7 2009,cambyma01,30:29,6,6,.857,0,0,,4,5,.800,1,6,7,6,0,0,0,2,16,+13,.870,.857,188,110
4,Los Angeles Clippers,Atlanta Hawks,February 7 2009,davisba01,26:17,6,6,.400,1,5,.200,0,2,.000,3,1,4,8,2,0,1,3,13,+4,.409,.433,109,104
5,Los Angeles Clippers,Atlanta Hawks,February 7 2009,davisri01,24:51,4,4,.571,4,6,.667,0,0,,0,2,2,3,1,0,0,2,12,+23,.857,.857,163,107
6,Los Angeles Clippers,Atlanta Hawks,February 7 2009,jonesfr01,21:43,0,0,.000,0,1,.000,0,0,,0,3,3,9,0,0,2,2,0,+20,.000,.000,109,111
7,Los Angeles Clippers,Atlanta Hawks,February 7 2009,novakst01,17:57,2,2,.667,1,2,.500,1,1,1.000,1,0,1,0,0,0,1,3,6,+11,.872,.833,129,113
8,Los Angeles Clippers,Atlanta Hawks,February 7 2009,jordade01,11:22,2,2,1.000,0,0,,1,2,.500,0,6,6,0,0,3,1,2,5,+4,.868,1.000,106,82
9,Los Angeles Clippers,Atlanta Hawks,February 7 2009,hartja01,2:28,1,1,1.000,0,0,,0,0,,0,0,0,0,1,0,0,1,2,-1,1.000,1.000,200,66
10,Los Angeles Clippers,Atlanta Hawks,February 7 2009,willima02,40:49,5,5,.455,1,3,.333,6,6,1.000,0,5,5,3,0,0,0,1,17,-18,.623,.500,133,136
11,Los Angeles Clippers,Atlanta Hawks,February 7 2009,smithjo03,37:23,6,6,.600,0,0,,4,7,.571,2,13,15,1,1,2,3,1,16,-15,.612,.600,104,125
12,Los Angeles Clippers,Atlanta Hawks,February 7 2009,johnsjo02,33:40,6,6,.400,3,5,.600,2,3,.667,1,2,3,3,0,0,3,2,17,-18,.521,.500,93,137
13,Los Angeles Clippers,Atlanta Hawks,February 7 2009,lawac01,28:22,3,3,.333,0,2,.000,2,3,.667,0,2,2,6,0,0,2,1,8,-6,.388,.333,85,137
14,Los Angeles Clippers,Atlanta Hawks,February 7 2009,horfoal01,23:50,4,4,.667,0,0,,0,0,,0,5,5,2,1,0,1,3,8,-11,.667,.667,115,129
15,Los Angeles Clippers,Atlanta Hawks,February 7 2009,murraro01,25:37,1,1,.143,1,2,.500,2,3,.667,0,1,1,4,0,0,1,1,5,-18,.300,.214,74,138
16,Los Angeles Clippers,Atlanta Hawks,February 7 2009,pachuza01,21:21,4,4,.571,0,0,,4,4,1.000,1,3,4,0,0,0,1,3,12,-16,.685,.571,126,136
17,Los Angeles Clippers,Atlanta Hawks,February 7 2009,evansma01,20:04,2,2,.400,2,4,.500,4,4,1.000,0,0,0,0,1,0,0,3,10,-20,.740,.600,149,132
18,Los Angeles Clippers,Atlanta Hawks,February 7 2009,jonesso01,4:47,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,2,0,+2,,,0,137
19,Los Angeles Clippers,Atlanta Hawks,February 7 2009,westma02,4:07,2,2,.667,0,0,,0,2,.000,1,0,1,0,2,0,0,0,4,0,.515,.667,103,82
20,Chicago Bulls,Dallas Mavericks,February 7 2009,thomaty01,45:03,8,8,.571,1,1,1.000,6,7,.857,4,8,12,2,0,1,2,5,23,+1,.673,.607,135,114
21,Chicago Bulls,Dallas Mavericks,February 7 2009,denglu01,45:02,3,3,.200,0,0,,4,6,.667,1,4,5,4,2,1,0,2,10,+8,.283,.200,83,112
22,Chicago Bulls,Dallas Mavericks,February 7 2009,rosede01,42:47,11,11,.440,0,1,.000,0,0,,2,2,4,9,0,1,3,3,22,+6,.440,.440,102,118
23,Chicago Bulls,Dallas Mavericks,February 7 2009,gordobe01,33:37,9,9,.500,4,6,.667,6,6,1.000,2,2,4,2,2,1,5,2,28,-5,.678,.611,116,111
24,Chicago Bulls,Dallas Mavericks,February 7 2009,noahjo01,29:58,4,4,1.000,0,0,,0,3,.000,2,8,10,2,0,1,2,5,8,-2,.752,1.000,111,110
25,Chicago Bulls,Dallas Mavericks,February 7 2009,hinriki01,29:36,4,4,.444,2,5,.400,0,0,,0,5,5,3,1,0,5,4,10,-3,.556,.556,78,111
26,Chicago Bulls,Dallas Mavericks,February 7 2009,nocioan01,22:44,4,4,.444,3,4,.750,2,2,1.000,2,4,6,0,1,0,0,4,13,0,.658,.611,147,110
27,Chicago Bulls,Dallas Mavericks,February 7 2009,sefolth01,10:29,0,0,,0,0,,0,0,,1,2,3,0,0,1,0,0,0,-13,,,219,109
