,Player_ID,Name,YrStart,YrEnd,Pos,Height,Weight,Birth_date,College
0,abdelal01,Alaa Abdelnaby,1991,1995,F-C,6-10,240,"June 24, 1968",Duke University
1,abdulza01,Zaid Abdul-Aziz,1969,1978,C-F,6-9,235,"April 7, 1946",Iowa State University
2,abdulka01,Kareem Abdul-Jabbar,1970,1989,C,7-2,225,"April 16, 1947","University of California, Los Angeles"
3,abdulma02,Mahmoud Abdul-Rauf,1991,2001,G,6-1,162,"March 9, 1969",Louisiana State University
4,abdulta01,Tariq Abdul-Wahad,1998,2003,F,6-6,223,"November 3, 1974",San Jose State University
5,abdursh01,Shareef Abdur-Rahim,1997,2008,F,6-9,225,"December 11, 1976",University of California
6,abernto01,Tom Abernethy,1977,1981,F,6-7,220,"May 6, 1954",Indiana University
7,ablefo01,Forest Able,1957,1957,G,6-3,180,"July 27, 1932",Western Kentucky University
8,abramjo01,John Abramovic,1947,1948,F,6-3,195,"February 9, 1919",Salem International University
9,abrinal01,Alex Abrines,2017,2018,G-F,6-6,190,"August 1, 1993",
10,ackeral01,Alex Acker,2006,2009,G,6-5,185,"January 21, 1983",Pepperdine University
11,ackerdo01,Don Ackerman,1954,1954,G,6-0,183,"September 4, 1930",Long Island University
12,acresma01,Mark Acres,1988,1993,F-C,6-11,220,"November 15, 1962",Oral Roberts University
13,actonbu01,Bud Acton,1968,1968,F,6-6,210,"January 11, 1942",Hillsdale College
14,acyqu01,Quincy Acy,2013,2018,F,6-7,240,"October 6, 1990",Baylor University
15,adamsal01,Alvan Adams,1976,1988,C-F,6-9,210,"July 19, 1954",University of Oklahoma
16,adamsdo01,Don Adams,1971,1977,F,6-6,210,"November 27, 1947",Northwestern University
17,adamsge01,George Adams,1973,1975,F-G,6-5,210,"May 15, 1949",Gardner-Webb University
18,adamsha01,Hassan Adams,2007,2009,G,6-4,220,"June 20, 1984",University of Arizona
19,adamsjo01,Jordan Adams,2015,2016,G,6-5,209,"July 8, 1994","University of California, Los Angeles"
20,adamsmi01,Michael Adams,1986,1996,G,5-10,162,"January 19, 1963",Boston College
21,adamsst01,Steven Adams,2014,2018,C,7-0,255,"July 20, 1993",University of Pittsburgh
22,addisra01,Rafael Addison,1987,1997,F-G,6-7,215,"July 22, 1964",Syracuse University
23,adebaba01,Bam Adebayo,2018,2018,C-F,6-10,243,"July 18, 1997",University of Kentucky
24,adelmri01,Rick Adelman,1969,1975,G,6-1,175,"June 16, 1946",Loyola Marymount University
25,adrieje01,Jeff Adrien,2011,2015,F,6-7,245,"February 10, 1986",University of Connecticut
26,afflaar01,Arron Afflalo,2008,2018,G,6-5,210,"October 15, 1985","University of California, Los Angeles"
27,agerma01,Maurice Ager,2007,2011,G,6-5,202,"February 9, 1984",Michigan State University
28,aguirma01,Mark Aguirre,1982,1994,F-G,6-6,232,"December 10, 1959",DePaul University
29,ahearbl01,Blake Ahearn,2008,2012,G,6-2,190,"May 27, 1984",Missouri State University
30,aingeda01,Danny Ainge,1982,1995,G,6-4,175,"March 17, 1959",Brigham Young University
31,aitchma01,Matthew Aitch,1968,1968,F,6-7,230,"September 21, 1944",Michigan State University
32,ajincal01,Alexis Ajinca,2009,2017,C,7-2,248,"May 6, 1988",
33,akinhe01,Henry Akin,1967,1969,C-F,6-10,225,"July 31, 1944",Morehead State University
34,akognjo01,Josh Akognon,2013,2013,G,5-11,185,"February 10, 1986","California State University, Fullerton"
35,alabiso01,Solomon Alabi,2011,2012,C,7-1,251,"March 21, 1988",Florida State University
36,alarima01,Mark Alarie,1987,1991,F,6-8,217,"December 11, 1963",Duke University
